Molecule name,RowID,Original_SMILES,Error
Molecule_1035,1035,CCCC[N+](CC1C=CC=CC=1)(CCCC)CCCC.[O-]S(=O)(=O)C1=CC=C(O)C2=CC=CC=C12, Mixture
Molecule_1174,1174,[H+].[Cr+3].CCCCC(CN)CC.CC1=NN(C2C=CC=CC=2)C(=O)[C-]1N=NC1=CC=CC=C1C([O-])=O.CC1=NN(C2C=CC=CC=2)C(=O)[C-]1N=NC1=CC=CC=C1C([O-])=O, Mixture
Molecule_1194,1194,C%91.C%92.O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1.[*]%91.[*]%92, Mixture
Molecule_1453,1453,CC(C)(O)C([O-])=O.C[N+](C)(C)CC1C=CC=CC=1, Mixture
Molecule_1507,1507,CC1OC1P(O)(O)=O.CC(N)C1C=CC=CC=1, Mixture
Molecule_1525,1525,C%91.C%92.OC1C=CC=CC=1.[*]%91.[*]%92, Mixture
Molecule_1626,1626,[Na+].CCCCCCCCCCCCOC(=O)C(CC(=O)OCCCCCCCCCCCC)S([O-])(=O)=O.C%91.C%92.[*]%91.[*]%92, Mixture
Molecule_1686,1686,C%91.CC(CC(C)CC(O)=O)C(O)=O.[*]%91, Mixture
Molecule_1690,1690,[H+].[Cr+3].CCCCC(COCCCN)CC.[O-]C1C=C(C=CC=1N=NC1C2=CC=CC=C2C=CC=1[O-])[N+]([O-])=O.[O-]C1C=CC2=CC=CC=C2C=1N=NC1C=C(C=CC=1[O-])[N+]([O-])=O, Mixture
Molecule_1731,1731,OC(=O)C1=CC(=C(C=C1C(O)=O)C(O)=O)C(O)=O.C1CNC(=N1)C1C=CC=CC=1.C1CNC(=N1)C1C=CC=CC=1, Mixture
Molecule_1822,1822,[H+].[Cu+2].CCCCCCCCC=CCCCCCCCCN.[O-]S%91(=O)=O.[*]%91.C1=CC=CC2=C3[N-]C(N=C4N=C(N=C5[N-]C(=NC6=NC(=N3)C3=CC=CC=C36)C3=CC=CC=C35)C3=CC=CC=C34)=C21, Mixture
Molecule_1843,1843,[Al+3].[Al+3].NC1=CC(=CC2=CC(=C(N=NC3C=CC=CC=3)C(O)=C12)S([O-])(=O)=O)S([O-])(=O)=O.NC1C=C(C=C2C=C(C(N=NC3C=CC=CC=3)=C(O)C=12)S([O-])(=O)=O)S([O-])(=O)=O.NC1C=C(C=C2C=C(C(N=NC3C=CC=CC=3)=C(O)C=12)S([O-])(=O)=O)S([O-])(=O)=O, Mixture
Molecule_1886,1886,CC1C=C(CC(C)CC(C)(C)C)N(O)C(=O)C=1.NCCCO, Mixture
Molecule_1937,1937,OC(=O)C1=CC(=C(C=C1C(O)=O)C(O)=O)C(O)=O.C1CN=C(N1)C1C=CC=CC=1, Mixture
Molecule_1991,1991,[Ba+2].CCC1C=C(N=NC2=C3C=CC=CC3=CC=C2O)C(=CC=1Cl)S([O-])(=O)=O.CCC1=CC(N=NC2=C3C=CC=CC3=CC=C2O)=C(C=C1Cl)S([O-])(=O)=O, Mixture
Molecule_2007,2007,C%91.CC(CC#N)CC(C)C#N.[*]%91, Mixture
Molecule_2008,2008,[Na+].[Na+].[Na+].[Na+].CC(=O)NC1C=CC(=C2C=C(C=C(O)C2=1)S([O-])(=O)=O)S([O-])(=O)=O.[O-]S(=O)(=O)C1C=CC(=CC=1)N=NC1C=CC=C2C=C(C=CC2=1)S([O-])(=O)=O, Mixture
Molecule_2170,2170,COCCOCCO.C%91.C%92.[*]%91.[*]%92, Mixture
Molecule_2291,2291,C[N+](C)(C)C.[O-]C(=O)C1=CC=CC=C1C(O)=O, Mixture
Molecule_2435,2435,[Ti+4].CC(=O)[CH-]C(=O)OCC.CC(=O)[CH-]C(=O)OCC.CC(C)C[O-].CC(C)C[O-], Mixture
Molecule_12,12,[F-].[F-].[Sr+2], Inorganic
Molecule_13,13,[K+].[K+].[O-]S([O-])(=O)=O, Inorganic
Molecule_17,17,[O-2].[O-2].[O-2].[O-2].[V+5].[Fe+3], Inorganic
Molecule_21,21,[Na+].O=[Sb-](=O)=O, Inorganic
Molecule_31,31,[S-2].[Zn+2], Inorganic
Molecule_32,32,O=[Sr], Inorganic
Molecule_36,36,[Bi+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O, Inorganic
Molecule_38,38,[OH-].[OH-].[Ba+2], Inorganic
Molecule_40,40,O=[Sm]O[Sm]=O, Inorganic
Molecule_44,44,[AlH3].[Ni], Inorganic
Molecule_51,51,[Na+].[Na+].[O-][Si](=O)O[Si]([O-])=O, Inorganic
Molecule_66,66,[Ga]#[As], Inorganic
Molecule_109,109,[OH-].[OH-].[OH-].[Co+3], Inorganic
Molecule_111,111,[Mg+2].[Mg+2].[Mg+2].[K+].[K+].[K+].[K+].[O-][Ti]([O-])=O.[O-][Ti]([O-])([O-])[O-], Inorganic
Molecule_121,121,[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O, Inorganic
Molecule_132,132,[Na+].[Na+].[Na+].[Na+].[Na+].[O-]P(=O)(OP([O-])([O-])=O)OP([O-])([O-])=O, Inorganic
Molecule_139,139,[Cu], Inorganic
Molecule_145,145,[Ca+2].[O-][V](=O)=O.[O-][V](=O)=O, Inorganic
Molecule_158,158,[F-].[F-].[F-].[K+].[Zn+2], Inorganic
Molecule_174,174,[O-2].[O-2].[O-2].[O-2].[K+].[K+].[Mo+6], Inorganic
Molecule_185,185,[NH4+].O=[Re-](=O)(=O)=O, Inorganic
Molecule_199,199,[Cu+2].[O-][N+]([O-])=O.[O-][N+]([O-])=O, Inorganic
Molecule_200,200,[BiH3], Inorganic
Molecule_225,225,[Na+].NS([O-])(=O)=O, Inorganic
Molecule_229,229,[O-2].[Cu+].[Cu+], Inorganic
Molecule_230,230,[O-2].[O-2].[O-2].[O-2].[Na+].[Na+].[Mo+6], Inorganic
Molecule_237,237,[Cl-].[Cu+], Inorganic
Molecule_243,243,ClB(Cl)Cl, Inorganic
Molecule_248,248,[O-2].[Ni+2], Inorganic
Molecule_252,252,[K+].[O-][Mn](=O)(=O)=O, Inorganic
Molecule_257,257,[Li+].[OH-], Inorganic
Molecule_263,263,O=[Nd]O[Nd]=O, Inorganic
Molecule_267,267,[NH4+].[NH4+].[O-]P([O-])(O)=O, Inorganic
Molecule_280,280,[OH-].[OH-].[OH-].[OH-].[Na+].[Al+3], Inorganic
Molecule_291,291,[NH4+].[NH4+].[NH4+].[NH4+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].O=[Mo+2]=O.O=[Mo+2]=O.O=[Mo+2]=O.O=[Mo+2]=O.O=[Mo+2]=O.O=[Mo+2]=O.O=[Mo+4].O=[Mo+4], Inorganic
Molecule_302,302,[Na+].[Na+].[O-]P(O)(=O)OP([O-])(O)=O, Inorganic
Molecule_311,311,[OH-].[OH-].[OH-].[Cl-].[Cu+2].[Cu+2], Inorganic
Molecule_326,326,[O-2].[Mn+2], Inorganic
Molecule_327,327,[Sr+2].[O-]P([O-])(O)=O, Inorganic
Molecule_331,331,[NH4+].[NH4+].[O-]S([O-])=O, Inorganic
Molecule_354,354,[O-2].[O-2].[O-2].[O-2].[V+5].[Ce+3], Inorganic
Molecule_359,359,[Ba+2].[O-]S([O-])(=O)=O, Inorganic
Molecule_362,362,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Mo+6].[Mo+6].[Mo+6], Inorganic
Molecule_397,397,[F-].[F-].[Mg+2].[Mg+2].[Mg+2].[K+].[O-][Si]([O-])=O.[O-][Si]([O-])=O.[O-][Si]([O-])=O.O=[Al+], Inorganic
Molecule_398,398,[K+].[O-][V](=O)=O, Inorganic
Molecule_405,405,[Mo], Inorganic
Molecule_407,407,[K+].[O-]P=O, Inorganic
Molecule_408,408,[H+].[H+].O=[Mo-2](=O)(=O)=O, Inorganic
Molecule_412,412,[Mn], Inorganic
Molecule_419,419,[Li+].[Fe+2].[O-]P([O-])([O-])=O, Inorganic
Molecule_423,423,[O-2].[O-2].[O-2].[O-2].[O-2].[Ta+5].[Ta+5], Inorganic
Molecule_437,437,[Na+].[O-]Cl(=O)(=O)=O, Inorganic
Molecule_439,439,[NH4+].[Cl-], Inorganic
Molecule_451,451,[Cl-].[Cl-].[Cl-].[Fe+3], Inorganic
Molecule_456,456,[V+3].[V+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O, Inorganic
Molecule_470,470,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Y+3].[Y+3].[Y+3], Inorganic
Molecule_471,471,[S] |^3:0|, Inorganic
Molecule_477,477,O=[La]O[La]=O, Inorganic
Molecule_506,506,[Na+].[Na+].[O-]P([O-])(=O)F, Inorganic
Molecule_509,509,[O-][N+](=O)O[Zr](=O)O[N+]([O-])=O, Inorganic
Molecule_523,523,[NH4+].[Mg+2].[O-]P([O-])([O-])=O, Inorganic
Molecule_542,542,[NH4+].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O, Inorganic
Molecule_551,551,[Au], Inorganic
Molecule_561,561,[Sr+2].[O-][Ti]([O-])=O, Inorganic
Molecule_570,570,[Ca+2].[O-][Sn]([O-])=O, Inorganic
Molecule_581,581,[O-2].[O-2].[O-2].[O-2].[V+5].[Er+3], Inorganic
Molecule_583,583,[Zn+2].[Zn+2].[Zn+2].[O-]B([O-])[O-].[O-]B([O-])[O-], Inorganic
Molecule_599,599,[Ti], Inorganic
Molecule_606,606,[NH4+].NS([O-])(=O)=O, Inorganic
Molecule_617,617,O=[Mo](=O)=O, Inorganic
Molecule_629,629,[Pb+4].[O-][Si]([O-])=O.[O-][Si]([O-])=O, Inorganic
Molecule_631,631,[S-2].[S-2].[S-2].[Ce+3].[Ce+3], Inorganic
