Molecule name,RowID,Original_SMILES,Error
Molecule_1602,1602,[K+].[K+].O=C1O[Sb-]23OC(=O)C(O2)C2O[Sb-]4(OC(=O)C(O4)C1O3)OC2=O, Organometallics
Molecule_2340,2340,CCCC[Sn+2]CCCC.[O-]B([O-])O, Organometallics
Molecule_2701,2701,[Na+].CC[Hg]SC1C=CC=CC=1C([O-])=O, Organometallics
Molecule_2334,2334,[NH4+].[NH4+].[Ni+2].N#[C-][Fe+2]([C-]#N)([C-]#N)([C-]#N)([C-]#N)[C-]#N, Organometallics
Molecule_27,27,CC1(C)CC(CC(C)(C1)CN=C=O)N=C=O.CO[Si](CCCS)(OC)OC, Mixture
Molecule_33,33,C%91.C%92.OC1C=CC=CC=1.[*]%91.[*]%92, Mixture
Molecule_93,93,OC(=O)C1=CC2=C(C=C1)C(=O)OC2=O.OCCO, Mixture
Molecule_167,167,Cl.NC(=N)[O-].OC[P+](CO)(CO)CO, Mixture
Molecule_187,187,COC1C=C(O)C(=CC=1S([O-])(=O)=O)C(=O)C1C=CC=CC=1.ClC1C=CC(=CC=1)[S+](C1C=CC(Cl)=CC=1)C1C=CC(Cl)=CC=1, Mixture
Molecule_538,538,[Na+].[Na+].[Na+].[Na+].CC(=O)NC1C=CC(=C2C=C(C=C(O)C2=1)S([O-])(=O)=O)S([O-])(=O)=O.[O-]S(=O)(=O)C1C=CC(=CC=1)N=NC1C=CC=C2C=C(C=CC2=1)S([O-])(=O)=O, Mixture
Molecule_561,561,COC1(OC(CO)C(O)C(O)C1O)C1=CC(CC2C=CC(=CC=2)OCC)=C(Cl)C=C1.OCC#CCO, Mixture
Molecule_581,581,[Cu+2].CCN(CC%91)CC.CCN(CC%92)CC.CCN(CC%93)CC.[*]%91.[*]%93.[*]%92.C1=CC=CC2=C3[N-]C(N=C4N=C(N=C5[N-]C(=NC6=NC(=N3)C3=CC=CC=C36)C3=CC=CC=C35)C3=CC=CC=C34)=C21, Mixture
Molecule_736,736,[Sn+4].[CH2-]CCCCCCC.[CH2-]CCCCCCC.CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O, Mixture
Molecule_752,752,[*]C1C=CC=CC=1.C1=CC=CC=C1C1C=CC=CC=1, Mixture
Molecule_809,809,[NH2+]=C(NC1C=CC=CC=1)NC1C=CC=CC=1.[O-]S(=O)(=O)C1=CC(=CC=C1)N=NC1C=CC(=CC=1)NC1C=CC=CC=1, Mixture
Molecule_926,926,CCCCCNCCCCC.CCCCCN(CCCCC)C(S)=S, Mixture
Molecule_992,992,CC(C)(C1C=CC(=CC=1)OCC1CO1)C1C=CC(=CC=1)OCC1CO1.NCC1=CC(CN)=CC=C1, Mixture
Molecule_1020,1020,CN(C)C.CC(C)COP(S)(=S)OCC(C)C, Mixture
Molecule_1070,1070,C=C%91.ClCC1C=CC=CC=1.[*]%91, Mixture
Molecule_1132,1132,[H+].[OH-].[Cr+3].CC1=NN(C(=O)[C-]1N=NC1C=C(C=C(C=1[O-])S([O-])(=O)=O)[N+]([O-])=O)C1C=CC=CC=1.CCCCC(COCCCN)CC, Mixture
Molecule_1204,1204,CCCCCCCCN.CCCCOP(O)(=S)OCCCC, Mixture
Molecule_1242,1242,[Na+].[Cr+3].CC1=NN(C2C=CC=CC=2)C(=O)[C-]1N=NC1C=CC=CC=1C([O-])=O.CC1=NN(C2C=CC=CC=2)C(=O)[C-]1N=NC1=CC=CC=C1C([O-])=O, Mixture
Molecule_1262,1262,CCCCCCCCCOC(=O)C=C.C%91.[*]%91, Mixture
Molecule_1291,1291,C%91.O=C=NC1=CC(=CC=C1)N=C=O.[*]%91, Mixture
Molecule_1443,1443,[Na+].[Na+].[Cr+3].[O-]C1C=CC2C=CC=CC=2C=1N=NC1=CC=C(C=C1[O-])[N+]([O-])=O.[O-]C1=CC(=CC=C1N=NC1C=C(C2=CC=CC=C2C=1[O-])S([O-])(=O)=O)[N+]([O-])=O, Mixture
Molecule_1465,1465,CCC[N+]1C=CN(C)C=1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F, Mixture
Molecule_1469,1469,CCCCCCCCC=CCCCCCCCC1=NCCN1CCO.CCOS(=O)(=O)OCC, Mixture
Molecule_1481,1481,[Cl-].[Cl-].[Ru+6].[CH-2]C1=CC=CS1.CC1=CC(C)=C(C(C)=C1)N1[C-2]N(C2C(C)=CC(C)=CC=2C)C(C)=C1C.C1CCCCC1P(C1CCCCC1)C1CCCCC1, Mixture
Molecule_1485,1485,[Na+].[Na+].[Cr+3].CC1=NN(C2C=CC=CC=2)C(=O)[C-]1N=NC1C=C([O-])C=CC=1[N+]([O-])=O.[O-]C1C=CC2C=CC=CC=2C=1N=NC1=C2C=CC(=CC2=C(C=C1[O-])S([O-])(=O)=O)[N+]([O-])=O, Mixture
Molecule_1489,1489,[Na+].[Na+].[Na+].[Cr+3].CC1=NN(C2C=CC=CC=2)C([O-])=C1N=NC1C=C(C=C(C=1[O-])S([O-])(=O)=O)[N+]([O-])=O.[O-]C1C=C(C2C=C(C=CC=2C=1N=NC1=CC=CC2C=CC=C([O-])C=21)[N+]([O-])=O)S([O-])(=O)=O, Mixture
Molecule_1532,1532,CCCCCCC=O.NC1C=CC=CC=1, Mixture
Molecule_1546,1546,CCN1C=[N+](C)C=C1.N#C[N-]C#N, Mixture
Molecule_1564,1564,C[N+](C)=C1C=CC(C=C1)=C(C1C=CC(=CC=1)N(C)C)C1C=CC(=CC=1)N(C)C.[O-]S(=O)(=O)C1C=C(C=CC=1)N=NC1C=CC(=CC=1)NC1C=CC=CC=1, Mixture
Molecule_1579,1579,[Ni+2].CCCCN.CC(C)(C)CC(C)(C)C1C=C(SC2=CC(=CC=C2[O-])C(C)(C)CC(C)(C)C)C([O-])=CC=1, Mixture
Molecule_1742,1742,CC(C)(C)OC(=O)C(C)(C)ON=C(C1=CSC(NC(C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)=N1)C(=O)NC1C2SCC(C[N+]3C=CC=CC=3)=C(C([O-])=O)N2C1=O.CC(C)(C)OC(=O)C(C)(C)ON=C(C1=CSC(NC(C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)=N1)C(=O)NC1C2SCC(C[N+]3C=CC=CC=3)=C(C([O-])=O)N2C1=O.CN(C)C=O.CN(C)C=O.CN(C)C=O.CN(C)C=O.CN(C)C=O, Mixture
Molecule_1749,1749,[Na+].[Na+].[Cr+3].CC(=O)[C-](N=NC1=CC(=CC=C1[O-])[N+]([O-])=O)C(=O)NC1=CC=CC=C1Cl.[O-]C1=CC=C2C=CC=CC2=C1N=NC1=C2C=CC(=CC2=C(C=C1[O-])S([O-])(=O)=O)[N+]([O-])=O, Mixture
Molecule_1774,1774,[Na+].[Na+].[Cr+3].CC1=NN(C2C=CC=CC=2)C(=O)[C-]1N=NC1=CC(=CC=C1[O-])S([O-])(=O)=O.[O-]C1C=CC(=CC=1N=NC1=C2C=CC=CC2=CC=C1[O-])N=NC1C=CC=CC=1, Mixture
Molecule_1775,1775,FC1C(=C(F)C(F)=C(F)C=1F)[B-](C1=C(F)C(F)=C(F)C(F)=C1F)(C1=C(F)C(F)=C(F)C(F)=C1F)C1=C(F)C(F)=C(F)C(F)=C1F.C1=CC=CC=C1[C+](C1C=CC=CC=1)C1C=CC=CC=1, Mixture
Molecule_1827,1827,CC(=C)C(=O)OCCCCCCCCC.C%91.[*]%91, Mixture
Molecule_1840,1840,CN1C(C)(C)CC(O)CC1(C)C.CC(C)(CO)C1OCC2(CO1)COC(OC2)C(C)(C)CO.COC(=O)CC(C(CC(=O)OC)C(=O)OC)C(=O)OC, Mixture
Molecule_1973,1973,[Na+].NCCCCCCN.[O-]C(=O)C1=CC(=CC(=C1)C(O)=O)S(O)(=O)=O, Mixture
Molecule_2030,2030,CCC(OC(CC)(C1CO1)C1CCCCC1)(C1CO1)C1CCCCC1.CCC1CCCCC1(CC1CO1)OC1(CC2CO2)CCCCC1CC, Mixture
Molecule_2108,2108,CC(CCCN)CN.OC(=O)C1C=C(C=CC=1)C(O)=O, Mixture
Molecule_2212,2212,CC(C)C(OC(=O)CC)OP(=O)(CC(O)=O)CCCCC1C=CC=CC=1.C=CC1CN2CCC1CC2C(O)C1=CC=NC2C=CC=CC=21, Mixture
Molecule_2277,2277,COC1C=CC(O)=CC=1.CC%91(C)C.[*]%91, Mixture
Molecule_2351,2351,[B+2][CH2-]CCC.CCN(CC)C1C=CC(=CC=1)C(=CC=CC(C1C=CC(=CC=1)N(CC)CC)=C1C=CC(C=C1)=[N+](CC)CC)C1C=CC(=CC=1)N(CC)CC.[C-]1=CC=CC=C1.[C-]1=CC=CC=C1.[C-]1=CC=CC=C1, Mixture
Molecule_2425,2425,C[N+](C)(C)C.C[N+](C)(C)C.C[N+](C)(C)C.C[N+](C)(C)C.C[N+](C)(C)C.C[N+](C)(C)C.[O-]S(=O)(=O)C1=CC2=CC(=CC(NC3=NC(NC4C=C(C(C=CC5=CC=C(C=C5S([O-])(=O)=O)NC5=NC(NC6=CC(=CC7=CC(=C(N=NC8C=CC=CC=8)C(O)=C76)S([O-])(=O)=O)S([O-])(=O)=O)=NC(=N5)N5CCOCC5)=CC=4)S([O-])(=O)=O)=NC(=N3)N3CCOCC3)=C2C(O)=C1N=NC1C=CC=CC=1)S([O-])(=O)=O, Mixture
Molecule_2688,2688,CCCC[N+](CCCC)(CCCC)CCCC.NC1N=C(I)C2N=C[N-]C=2N=1, Mixture
Molecule_2689,2689,CCCC[B-](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1.CCCC[N+](CCCC)(CCCC)CCCC, Mixture
