CASRN,SMILES
71077-31-1,CC(CCC=C(C)CCC=O)C=C
3775-90-4,CC(=C)C(=O)OCCNC(C)(C)C
101-68-8,O=C=NC1=CC=C(CC2=CC=C(C=C2)N=C=O)C=C1
547-67-1,[Ni++].[O-]C(=O)C([O-])=O
142-90-5,CCCCCCCCCCCCOC(=O)C(C)=C
917-61-3,[Na+].[O-]C#N
109-28-4,CCCCCCCC\C=C/CCCCCCCC(=O)NCCCN(C)C
7803-49-8,NO
88-74-4,NC1=CC=CC=C1[N+]([O-])=O
50925-66-1,Cl.[Cr]
108-05-4,CC(=O)OC=C
89-57-6,NC1=CC=C(O)C(=C1)C(O)=O
3173-72-6,O=C=NC1=CC=CC2=C(C=CC=C12)N=C=O
35948-25-5,O=P1OC2=C(C=CC=C2)C2=C1C=CC=C2
126-86-3,CC(C)CC(C)(O)C#CC(C)(O)CC(C)C
13014-18-1,ClC1=CC(Cl)=C(C=C1)C(Cl)(Cl)Cl
1383692-20-3,COC1=NC(=NC(OC)=N1)C1=C(O)N(C2=C(F)C=CC=C12)S(=O)(=O)C(F)F
538-75-0,C1CCC(CC1)N=C=NC1CCCCC1
1383706-71-5,COC1=NC(=NC(OC)=N1)C1C(=O)NC2=C1C=CC=C2F
106-50-3,NC1=CC=C(N)C=C1
160194-28-5,CC[Si](CC)(CC)OC(CC#C)[Si](CC)(CC)CC
43011-20-7,OCCO.OC(=O)C1=CC2=C(C=C1)C(=O)OC2=O
100-44-7,ClCC1=CC=CC=C1
75330-75-5,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
97-53-0,COC1=C(O)C=CC(CC=C)=C1
1934-75-4,[Na+].N#C[N-]C#N
116313-85-0,OC1=CC(C=O)=CC(=C1O)[N+]([O-])=O
1220100-43-5,[Cl-].[Cl-].C[N+](C)(CC[N+](C)(C)CC(O)COCC(F)(F)C(F)F)CC(O)COCC(F)(F)C(F)F
154825-97-5,COC(=O)C(C)(C)C1=CC=C(Br)C=C1
1663-39-4,CC(C)(C)OC(=O)C=C
4180-23-8,COC1=CC=C(\C=C\C)C=C1
1119-86-4,CCCCCCCCC(O)CO
37439-34-2,[Na+].[O-]C1=C(Cl)C=C(Cl)C(Cl)=N1
96-32-2,COC(=O)CBr
16652-76-9,CC1=CC=C(C=C1)S(O)(=O)=O.[H][C@](N)(C(C)C)C(=O)OCC1=CC=CC=C1
101-54-2,NC1=CC=C(NC2=CC=CC=C2)C=C1
13762-14-6,[O--].[O--].[O--].[O--].[Co++].[Mo+6]
108-42-9,NC1=CC(Cl)=CC=C1
100-68-5,CSC1=CC=CC=C1
53146-45-5,CCCCOCC(O)COCC=C
109-01-3,CN1CCNCC1
154279-60-4,CCC(C)NC1CCC(CC2CCC(CC2)NC(C)CC)CC1
33229-34-4,OCCNC1=C(C=C(C=C1)N(CCO)CCO)[N+]([O-])=O
99607-70-2,CCCCCC(C)OC(=O)COC1=CC=C(Cl)C2=CC=CN=C12
142-09-6,CCCCCCOC(=O)C(C)=C
10081-67-1,CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1
79-01-6,ClC=C(Cl)Cl
23926-51-4,CCOC(=O)[C@@H](N)[C@@H](C)O
1229457-94-6,IC1=CN(N=C1)C1CCNCC1
85-42-7,O=C1OC(=O)C2CCCCC12
2008-39-1,CNC.OC(=O)COC1=C(Cl)C=C(Cl)C=C1
928-70-1,[K+].CC(C)CCOC([S-])=S
7078-98-0,CC(C)(C)C1=CC(=CC2=CC=CC=C2)C=C(C1=O)C(C)(C)C
135302-13-5,COC1=NNC(=O)N1C
1696-20-4,CC(=O)N1CCOCC1
586-62-9,CC(C)=C1CCC(C)=CC1
35130-97-3,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OS(C)(=O)=O
154212-59-6,Cl.[O-][N+](=O)C1=CC=C(OC(=O)OCC2=CN=CS2)C=C1
151-21-3,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O
61931-80-4,CCC(C)=CCCC(C)(OC(C)=O)C=C
868-77-9,CC(=C)C(=O)OCCO
124-13-0,CCCCCCCC=O
95-54-5,NC1=C(N)C=CC=C1
16874-34-3,CCOC(=O)C1CCCO1
100-52-7,O=CC1=CC=CC=C1
938063-63-9,CCC(C)(C)C(=O)SCCC(=O)OC
2582-30-1,OC(O)=O.NNC(N)=N
101-96-2,CCC(C)NC1=CC=C(NC(C)CC)C=C1
124-64-1,[Cl-].OC[P+](CO)(CO)CO
13548-38-4,[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O
584-84-9,CC1=CC=C(C=C1N=C=O)N=C=O
762-16-3,CCCCCCCC(=O)OOC(=O)CCCCCCC
78620-07-2,[Na+].[Na+].[Na+].[O-]OP([O-])(=O)CC([O-])=O
117646-83-0,CCCCC(CC)COCCOCCOC(=O)C=C
92-72-8,COC1=CC(OC)=C(NC(=O)C2=C(O)C=C3C=CC=CC3=C2)C=C1Cl
123989-28-6,CC(C(O)C1=CC=C(Cl)C=C1)C1CC1
