CASRN,Canonical_QSARr
6528-34-3,CC(=O)C(N=NC1C=CC(=CC=1[N+]([O-])=O)OC)C(=O)NC1C=CC=CC=1OC
38632-47-2,OS(=O)(=O)C(=O)NCCCCCCNC(=O)S(O)(=O)=O
1054448-65-5,CCCCCCS(=O)(=O)C1C=C(C(=CC=1)NC1C=CC2=C3C(=C(C(=O)C4C=C(C=CC=4)S(O)(=O)=O)C(=O)N2C)C2C=CC=CC=2C(=O)C=13)S(O)(=O)=O
1489170-67-3,OC(=O)C1C=CC(=CC=1)NC(=O)C1C=CC(Cl)=CC=1
2495-39-8,C=CCS(O)(=O)=O
88150-62-3,CC1=NC(COCCN2C(=O)C3C=CC=CC=3C2=O)=C(C(C1C(=O)OC)C1C=CC=CC=1Cl)C(=O)OCC
5026-62-0,COC(=O)C1C=CC(O)=CC=1
112-07-2,CCCCOCCOC(C)=O
71294-03-6,O=C1CC2C=CC=C(F)C=2N1
13040-19-2,CCCCCCC(O)CC=CCCCCCCCC(O)=O
14858-73-2,CCCCC(COC(=O)OCC(CCCC)CC)CC
330459-31-9,C1=CC=CC=C1C1N=C(ON=1)C1=CC=CS1
6381-77-7,OCC(O)C1OC(=O)C(=O)C1O
247089-62-9,CCCCCCCCCCCCCCCCCCSC1C=CC(=CC=1)C1NC(=O)C2C=1C(=O)N=C2C1C=CC(=CC=1)SCCCCCCCCCCCCCCCCCC
830322-14-0,CC(C)CCC1CCC(O)CC1
712-50-5,O=C(C1CCCCC1)C1C=CC=CC=1
121-57-3,NC1=CC=C(C=C1)S(O)(=O)=O
107-05-1,C=CCCl
2893-78-9,O=C1N(Cl)C(=O)NC(=O)N1Cl
55819-71-1,NC(CO)C(O)N=N
49701-24-8,CNS(=O)(=O)C1C=C(OC)C(N)=CC=1OC
1370711-06-0,CC(C)C(CC)OC(=O)C=CC
66170-10-3,OC1C(OC(=O)C=1OP(O)(O)=O)C(O)CO
3344-18-1,OC(=O)C(O)(CC(O)=O)CC(O)=O
53803-13-7,C[N+](C)(C)C
79-81-2,CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
29598-76-3,CCCCCCCCCCCCSCCC(=O)OCC(COC(=O)CCSCCCCCCCCCCCC)(COC(=O)CCSCCCCCCCCCCCC)COC(=O)CCSCCCCCCCCCCCC
150-39-0,OCCN(CC(O)=O)CCN(CC(O)=O)CC(O)=O
22818-40-2,NC(C1=CC=C(O)C=C1)C(O)=O
71-55-6,CC(Cl)(Cl)Cl
3033-62-3,CN(C)CCOCCN(C)C
138495-42-8,FC(F)(F)C(F)C(F)C(F)(F)C(F)(F)F
26364-65-8,N#CNC1=NCCS1
97042-18-7,C=CCOC1C=CC(=CC=1)S(=O)(=O)C1C=CC(O)=CC=1
6410-32-8,CC1C=CC=CC=1NC(=O)C1C=C2C=CC=CC2=C(N=NC2C=CC(=CC=2C)[N+]([O-])=O)C=1O
674773-12-7,COC(=O)C1SC(N)=C(C#N)C=1CC(=O)OC
203448-76-4,CC(C)CC(C)C1C=CC=CC=1N
143-22-6,CCCCOCCOCCOCCO
91-22-5,C1=CC=NC2C=CC=CC=21
81-13-0,CC(C)(CO)C(O)C(=O)NCCCO
256473-04-8,FC(F)(F)COC1=CC=CN=C1Cl
922165-31-9,CCOCCOCCOC(=O)C1CCC(CC1)C(=O)OCCOCCOCC
15214-89-8,CC(C)(CS(O)(=O)=O)NC(=O)C=C
917-61-3,N#CO
78491-02-8,OCNC(=O)N(CO)C1C(=O)N(CO)C(=O)N1CO
31775-16-3,CC(=O)C(N=NC1=CC=C(C=C1Cl)C1=CC(Cl)=C(C=C1)N=NC(C(=O)NC1C=CC(=CC=1)OC)C(C)=O)C(=O)NC1C=CC(=CC=1)OC
194602-23-8,CN1CCN(CC1)S(=O)(=O)C1=CC(C(O)=O)=C(C=C1)OCC
88-74-4,NC1=CC=CC=C1[N+]([O-])=O
67874-71-9,CCCCC(CC)C(O)=O
2890-61-1,CC1(CCCCC1)C(=O)Cl
109-69-3,CCCCCl
1400584-86-2,COC1CCC2(CC1)NC(=O)NC2=O
64696-98-6,N#CC(N=CC1C=CC=CC=1O)=C(C#N)N=CC1C=CC=CC=1O
37443-42-8,COC(=O)C1CCCO1
92878-95-0,COC1C=CC(=CC=1OCCCCl)[N+]([O-])=O
92-52-4,C1=CC=CC=C1C1C=CC=CC=1
1604-35-9,CC(C)CCCC(C)CCCC(C)(O)C#C
1228180-58-2,CC1C(N=NC2C=CC(=CC=2)S(=O)(=O)C2C=CC(=CC=2)N=NC2C(=O)N(CC)C(=O)C(CS(O)(=O)=O)=C2C)C(=O)N(CC)C(=O)C=1CS(O)(=O)=O
1035204-85-3,CC(C)(C)OC(=O)CC1CC(CCN2C(=C(C(=C2C(C)C)C(=O)NC2C=CC=CC=2)C2C=CC=CC=2)C2C=CC(F)=CC=2)OC2(CCCC2)O1
124-30-1,CCCCCCCCCCCCCCCCCCN
188570-78-7,CCC=CCCOC(=O)C1CC1
5292-45-5,COC(=O)C1=CC=C(C=C1[N+]([O-])=O)C(=O)OC
696-99-1,NCC1C=CC=CC=1
17270-01-8,O=P(OC1C=CC(=CC=1)C1C=CC(=CC=1)OP(=O)(OC1C=CC=CC=1)OC1C=CC=CC=1)(OC1C=CC=CC=1)OC1C=CC=CC=1
10254-57-6,CCCCN(CCCC)C(=S)SCSC(=S)N(CCCC)CCCC
832088-68-3,CC(C)(C1C=CC(=CC=1)C#CCCN1CCC(CC1)C(O)(C1C=CC=CC=1)C1C=CC=CC=1)C(O)=O
138776-88-2,CC(C)(C)C1C=C(C=C(C=1OP1OC2C=CC=CC=2C2=CC=CC=C2O1)C1=CC(=CC(=C1OP1OC2C=CC=CC=2C2=CC=CC=C2O1)C(C)(C)C)C(C)(C)C)C(C)(C)C
84418-68-8,CC(C)(C)CCCCCC(O)=O
74441-05-7,CC(=O)C(N=NC1C=CC(=CC=1)C(=O)NC1C=CC(=CC=1)C(N)=O)C(=O)NC1=CC2NC(=O)NC=2C=C1
105112-76-3,NC1=CC(=CC=C1)OC1(CC=C(C=C1)C1C=CC=CC=1)OC1C=C(N)C=CC=1
24851-98-7,CCCCCC1C(CCC1=O)CC(=O)OC
67801-20-1,CC(C=CC1CC=C(C)C1(C)C)C(C)O
10097-02-6,CCC(CO)(CO)C(O)=O
110-17-8,OC(=O)C=CC(O)=O
901-44-0,CC(C)(C1C=CC(=CC=1)OCCO)C1C=CC(=CC=1)OCCO
111-76-2,CCCCOCCO
75-07-0,CC=O
701920-77-6,CCCCOCCOCCOC(=O)CCC(=O)OCCOCCOCCCC
2052-25-7,OC1C=CC=C2C=1C=CC(N=NC1=CC(=CC=C1O)S(O)(=O)=O)=C2O
77501-63-4,CCOC(=O)C(C)OC(=O)C1C=C(C=CC=1[N+]([O-])=O)OC1C=CC(=CC=1Cl)C(F)(F)F
3089-17-6,O=C1C2=CC3NC4=CC=C(Cl)C=C4C(=O)C=3C=C2NC2=CC=C(Cl)C=C12
4696-57-5,CCCCCCCCCCCC(O)=O
1119-86-4,CCCCCCCCC(O)CO
