CASRN,Canonical_QSARr
75330-75-5,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
97-53-0,COC1C=C(CC=C)C=CC=1O
1934-75-4,N#CNC#N
116313-85-0,[O-][N+](=O)C1C=C(C=C(O)C=1O)C=O
1220100-43-5,C[N+](C)(CC(O)COCC(F)(F)C(F)F)CC[N+](C)(C)CC(O)COCC(F)(F)C(F)F
154825-97-5,COC(=O)C(C)(C)C1C=CC(Br)=CC=1
1663-39-4,CC(C)(C)OC(=O)C=C
4180-23-8,CC=CC1=CC=C(C=C1)OC
1119-86-4,CCCCCCCCC(O)CO
37439-34-2,OC1N=C(Cl)C(Cl)=CC=1Cl
96-32-2,COC(=O)CBr
16652-76-9,CC(C)C(N)C(=O)OCC1=CC=CC=C1
101-54-2,NC1C=CC(=CC=1)NC1C=CC=CC=1
108-42-9,NC1=CC(Cl)=CC=C1
100-68-5,CSC1C=CC=CC=1
53146-45-5,CCCCOCC(O)COCC=C
109-01-3,CN1CCNCC1
154279-60-4,CC(CC)NC1CCC(CC2CCC(CC2)NC(C)CC)CC1
33229-34-4,[O-][N+](=O)C1C=C(C=CC=1NCCO)N(CCO)CCO
99607-70-2,CCCCCC(C)OC(=O)COC1=CC=C(Cl)C2=CC=CN=C12
142-09-6,CC(=C)C(=O)OCCCCCC
10081-67-1,CC(C)(C1C=CC(=CC=1)NC1C=CC(=CC=1)C(C)(C)C1C=CC=CC=1)C1C=CC=CC=1
79-01-6,ClC=C(Cl)Cl
23926-51-4,CC(O)C(N)C(=O)OCC
1229457-94-6,IC1C=NN(C=1)C1CCNCC1
85-42-7,O=C1OC(=O)C2CCCCC12
2008-39-1,OC(=O)COC1C=CC(Cl)=CC=1Cl
928-70-1,CC(C)CCOC(S)=S
7078-98-0,CC(C)(C)C1=CC(C=C(C1=O)C(C)(C)C)=CC1C=CC=CC=1
135302-13-5,COC1N=NC(=O)N1C
1696-20-4,CC(=O)N1CCOCC1
586-62-9,CC(C)=C1CC=C(C)CC1
35130-97-3,CN1C2CC(CC1CC2)OS(C)(=O)=O
154212-59-6,[O-][N+](=O)C1C=CC(=CC=1)OC(=O)OCC1=CN=CS1
151-21-3,CCCCCCCCCCCCOS(O)(=O)=O
61931-80-4,CCC(C)=CCCC(C)(C=C)OC(C)=O
868-77-9,CC(=C)C(=O)OCCO
124-13-0,CCCCCCCC=O
95-54-5,NC1C=CC=CC=1N
16874-34-3,CCOC(=O)C1CCCO1
100-52-7,O=CC1C=CC=CC=1
938063-63-9,CCC(C)(C)C(=O)SCCC(=O)OC
2582-30-1,NNC(N)=N
101-96-2,CC(CC)NC1C=CC(=CC=1)NC(C)CC
124-64-1,OCP(CO)(CO)CO
584-84-9,CC1=CC=C(C=C1N=C=O)N=C=O
762-16-3,CCCCCCCC(=O)OOC(=O)CCCCCCC
78620-07-2,OOP(O)(=O)CC(O)=O
117646-83-0,CCCCC(COCCOCCOC(=O)C=C)CC
92-72-8,COC1=CC(OC)=C(C=C1Cl)NC(=O)C1C=C2C=CC=CC2=CC=1O
123989-28-6,CC(C(O)C1=CC=C(Cl)C=C1)C1CC1
120-61-6,COC(=O)C1C=CC(=CC=1)C(=O)OC
111-88-6,CCCCCCCCS
130841-23-5,[O-][N+](=O)C1=CC(Cl)=C(C=C1Cl)OC(F)(F)C(F)C(F)(F)F
563-76-8,CC(Br)C(=O)Br
188416-20-8,CC(C1N=CN=C(Cl)C=1F)C(O)(CN1C=NC=N1)C1C=CC(F)=CC=1F
118-48-9,O=C1OC(=O)NC2C=CC=CC1=2
621-95-4,NC1C=CC(CCC2C=CC(N)=CC=2)=CC=1
105-75-9,CCCCOC(=O)C=CC(=O)OCCCC
60045-26-3,O=C(OCCCC1C=CC=CC=1)C1C=CC=CC=1
1638-86-4,CCOP(OCC)C1C=CC=CC=1
4273-92-1,COC1=CC(NC(=O)C2C=C3C=CC=CC3=CC=2O)=C(C=C1Cl)OC
162881-26-7,CC1=CC(C)=C(C(=O)P(=O)(C2C=CC=CC=2)C(=O)C2C(C)=CC(C)=CC=2C)C(C)=C1
42872-29-7,CC(C#N)C1=CC(=CC=C1)C(=O)Cl
614-45-9,CC(C)(C)OOC(=O)C1C=CC=CC=1
25899-50-7,CCC=CC#N
485-71-2,C=CC1CN2CCC1CC2C(O)C1=CC=NC2=CC=CC=C21
406679-89-8,C[Si](CN=C=O)(OC)OC
61007-89-4,OC1C=CC=CC=1C=NCCN(CCN=CC1C=CC=CC=1O)CCN=CC1C=CC=CC=1O
1830-54-2,COC(=O)CC(=O)CC(=O)OC
633-03-4,CCN(CC)C1C=CC(=CC=1)C(C1C=CC=CC=1)=C1C=CC(C=C1)=[N+](CC)CC
88-27-7,CC(C)(C)C1=CC(CN(C)C)=CC(=C1O)C(C)(C)C
