Substance Name,Name type,Number,Number type,Member of Category,Substance Link,Participant,Participant Link,Section,Endpoint Link,Values,
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=054079fb-486b-4eb4-b52c-ed8316e6202b,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=24301dbf-3b04-4d18-a319-1e02bd5a13b2,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=888c53ca-24bc-4522-954d-747bea36f100,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=5789eba7-e378-4c02-9a96-dbae66a857f7,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=46924b6f-44db-487b-abb6-5ac4ca2d35bf,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=46836f3e-c1a5-45c1-8a67-6a9c983e7b8d,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=263434a5-ce9f-4caf-b59f-a8c6a7d265de,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=13f5f3cd-f5d2-4a8f-8f26-dfcc598d3179,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=2ff2cb21-238d-4dc0-bd6a-14db6b562e74,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=07e302a2-d72e-4ca7-bd28-bd56f1b1093c,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
