CASRN,Canonical_QSARr
6440-58-0,CC1(C)C(=O)N(CO)C(=O)N1CO
1072-53-3,O=S1(=O)OCCO1
60-24-2,OCCS
59875-04-6,CCCC(=O)NC(C)C(O)=O
104617-49-4,NC1CC2SC(=N)N=C2CC1
109-86-4,COCCO
4431-83-8,COCCOCOCCOC
89929-57-7,CC=CC(C)(O)CCC=C(C)C
27610-92-0,CCCCC(CCCCCC)C(O)=O
54423-67-5,CC(C)(C)CCCCC(=O)OC=C
5601-29-6,CC1=NN(C2C=CC=CC=2)C(=O)C1N=NC1C=CC=CC=1C(O)=O
136-53-8,CCCCC(CC)C(O)=O
87-62-7,CC1C=CC=C(C)C=1N
24887-06-7,OCS(O)=O
897671-34-0,CC1SC=C(C=1S(=O)(=O)N=C=O)C(=O)OC
7195-44-0,O=C(OCC1CO1)C1C=CC(=CC=1)C(=O)OCC1CO1
3164-34-9,OC(=O)C(O)C(O)C(O)=O
127-95-7,OC(=O)C(O)=O
5486-79-3,CC(N)(CC1=CC(OC)=C(C=C1)OC)C(O)=O
136-99-2,CCCCCCCCCCCC1=NCCN1CCO
120728-10-1,CC(C)(C)OC(=O)NC1(CCC1)C(O)=O
115-84-4,CCCCC(CO)(CO)CC
102-36-3,O=C=NC1=CC(Cl)=C(Cl)C=C1
56-34-8,CC[N+](CC)(CC)CC
335153-21-4,CCCCC(OC1C=CC(=CC=1C=O)[N+]([O-])=O)C(O)=O
105-37-3,CCC(=O)OCC
76-22-2,CC1(C)C2CC(=O)C1(C)CC2
557-28-8,CCC(O)=O
65604-92-4,CN(C)CCCN(CCCN)CCCN(C)C
2997-92-4,CC(C)(N=NC(C)(C)C(N)=N)C(N)=N
548-62-9,C[N+](C)=C1C=CC(C=C1)=C(C1C=CC(=CC=1)N(C)C)C1C=CC(=CC=1)N(C)C
674773-13-8,COC(=O)C1SC(=C(C#N)C=1CC(=O)OC)N(CC(=O)OC)CC(=O)OC
19473-49-5,NC(CCC(O)=O)C(O)=O
19757-97-2,COC(=O)C(O)OC
2403-89-6,CN1C(C)(C)CC(O)CC1(C)C
598-56-1,CCN(C)C
127946-77-4,NC1(CC1)C#N
88-24-4,CC(C)(C)C1=CC(CC)=CC(CC2C=C(CC)C=C(C=2O)C(C)(C)C)=C1O
14657-64-8,OC(=O)CCP(O)(=O)C1C=CC=CC=1
107-92-6,CCCC(O)=O
3007-53-2,CCCCCCCCCCCC(=O)N(C)C
64690-19-3,CCCCCCCCN=C1CC=NC=C1
115-69-5,CC(N)(CO)CO
121-69-7,CN(C)C1C=CC=CC=1
194602-27-2,N#CC(C1CNCC1)(C1C=CC=CC=1)C1C=CC=CC=1
14025-15-1,OC(=O)CN(CC(O)=O)CCN(CC(O)=O)CC(O)=O
99-66-1,CCCC(CCC)C(O)=O
129-93-1,OS(=O)(=O)C1C=CC=C2C=C(C=C(NC3C=CC=CC=3)C2=1)NC1C=CC=CC=1
4500-29-2,OCCN(CCO)C1CCCCC1
351197-46-1,CC1(C)CC(CC(C)(C1)CNC(=O)OCCOCCN(C)C)NC(=O)OCCOCCN(C)C
68259-00-7,CN(N=CC1C=C[N+](C)=CC=1)C1C=CC=CC=1
37441-29-5,NC1C(I)=C(C(I)=C(C=1I)C(=O)Cl)C(=O)Cl
78-59-1,CC1CC(C)(C)CC(=O)C=1
13019-22-2,C=CCCCCCCCCO
88150-62-3,CC1=NC(COCCN2C(=O)C3C=CC=CC=3C2=O)=C(C(C1C(=O)OC)C1C=CC=CC=1Cl)C(=O)OCC
5026-62-0,COC(=O)C1C=CC(O)=CC=1
2210-79-9,CC1=CC=CC=C1OCC1CO1
793-24-8,CC(C)CC(C)NC1C=CC(=CC=1)NC1C=CC=CC=1
831-59-4,OS(=O)(=O)C1C=C(C=CC=1)S(O)(=O)=O
54301-26-7,C=CCCCCCCCCC(=O)NCC(O)=O
818-61-1,C=CC(=O)OCCO
3071-73-6,OS(=O)(=O)C1C=CC=C2C(=CC=CC=12)N=NC1=CC=C(N=NC2=CC=C(NC3C=CC=CC=3)C3C2=CC=CC=3S(O)(=O)=O)C2=CC=CC=C12
77668-42-9,N#CC(=O)C1C=CC=C(Cl)C=1Cl
1555-58-4,CN(CCC#N)CCC#N
1173761-32-4,CCC1COC(CC1)C1C=CC(O)=CC=1
2441-41-0,CCCCCCCCCCCCCCCC(=O)NCC(O)=O
88671-89-0,CCCCC(CN1C=NC=N1)(C#N)C1C=CC(Cl)=CC=1
15625-89-5,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
247089-62-9,CCCCCCCCCCCCCCCCCCSC1C=CC(=CC=1)C1NC(=O)C2C=1C(=O)N=C2C1C=CC(=CC=1)SCCCCCCCCCCCCCCCCCC
621-29-4,CC1C=C(C=CC=1)N=C=O
143382-03-0,COCC1C=C(C(=NC=1)C(O)=O)C(O)=O
830322-14-0,CC(C)CCC1CCC(O)CC1
121-57-3,NC1=CC=C(C=C1)S(O)(=O)=O
298-07-7,CCCCC(COP(O)(=O)OCC(CCCC)CC)CC
2893-78-9,O=C1N(Cl)C(=O)NC(=O)N1Cl
27603-25-4,CS(=O)(=O)C1=NN=C(S1)C(F)(F)F
765-43-5,CC(=O)C1CC1
5538-94-3,C[N+](C)(CCCCCCCC)CCCCCCCC
462-20-4,OC(=O)CCCCC(S)CCS
1115-70-4,CN(C)C(=N)NC(N)=N
1918-77-0,OC(=O)CC1=CC=CS1
5244-34-8,OCCSCCSCCO
53803-13-7,C[N+](C)(C)C
590-29-4,OC=O
585-07-9,CC(=C)C(=O)OC(C)(C)C
106-31-0,CCCC(=O)OC(=O)CCC
96-17-3,CCC(C)C=O
3644-12-0,CC(=C)C(=O)NCOC
121-33-5,COC1C=C(C=O)C=CC=1O
73833-37-1,CC1(C)CC2(CC(C)(C)N1)OC1(CCCCCCCCCCC1)NC2=O
79916-07-7,CCN(CC)c1cc2oc3cc(ccc3[n]c2cc1)N(CC)CC
150-39-0,OCCN(CC(O)=O)CCN(CC(O)=O)CC(O)=O
1459-93-4,COC(=O)C1=CC(=CC=C1)C(=O)OC
5294-61-1,OC(NC(CC1C=CC=CC=1)C(O)=O)=NC1=CC=CC=C1Cl
100-36-7,CCN(CCN)CC
50-21-5,CC(O)C(O)=O
41890-92-0,CC(CCCC(C)(C)OC)C(C)O
71-55-6,CC(Cl)(Cl)Cl
3033-62-3,CN(C)CCOCCN(C)C
83016-70-0,CN(C)CCOCCN(C)CCO
84-66-2,CCOC(=O)C1=CC=CC=C1C(=O)OCC
674773-12-7,COC(=O)C1SC(N)=C(C#N)C=1CC(=O)OC
6485-45-6,CC1CNCC(C)O1
143-22-6,CCCCOCCOCCOCCO
148-24-3,OC1=CC=CC2=CC=CN=C21
221640-21-7,CCOC1=CC=C(CC(N)CNCCN)C=C1
91-22-5,C1=CC=NC2C=CC=CC=21
119462-56-5,CC1=CC(=O)N(CC2C=C(CN3C(=O)C(C)=CC3=O)C=CC=2)C1=O
929-59-9,NCCOCCOCCN
82113-65-3,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
110-87-2,C1CCOC=C1
700-13-0,CC1C(O)=CC(C)=C(O)C=1C
2700-30-3,CC(C)N(C=O)C(C)C
6368-20-3,CC(C)(C)OC(=O)NC(CO)C(O)=O
1760-24-3,CO[Si](CCCNCCN)(OC)OC
354-15-4,FC(Cl)C(F)(Cl)Cl
2698-41-1,N#CC(=CC1=CC=CC=C1Cl)C#N
2481-94-9,CCN(CC)C1C=CC(=CC=1)N=NC1C=CC=CC=1
2825-82-3,C1C2CCC1C1CCCC21
7486-38-6,OC(=O)CCCCC(O)=O
39931-87-8,CC12CC=C3C(CCC45CC6(CCC43O5)OCCO6)C1CCC2=O
15214-89-8,CC(C)(CS(O)(=O)=O)NC(=O)C=C
917-61-3,N#CO
78491-02-8,OCNC(=O)N(CO)C1C(=O)N(CO)C(=O)N1CO
106155-02-6,CC1=CCC(CC=C(C)CO)C1(C)C
210420-85-2,C[N+](C)(CCCCCCCCCC)CCCCCCCCCC
3278-22-6,C=CS(=O)(=O)CS(=O)(=O)C=C
79-21-0,CC(=O)OO
78-70-6,CC(C)=CCCC(C)(O)C=C
98-87-3,ClC(Cl)C1C=CC=CC=1
72388-18-2,CCCCCCCCCCCCCCC(CO)CCCCCCCCCCCC
1779-51-7,CCCCP(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1
624-86-2,CCON
136369-04-5,NC1=NNN=N1
108-05-4,CC(=O)OC=C
337906-36-2,COCC1C=C(N)C=CC=1N
506-61-6,C#N
89-57-6,NC1=CC=C(O)C(=C1)C(O)=O
1589-49-7,COCCCO
81334-34-1,CC1(N=C(NC1=O)C1=NC=CC=C1C(O)=O)C(C)C
37443-42-8,COC(=O)C1CCCO1
126-86-3,CC(O)(CC(C)C)C#CC(C)(O)CC(C)C
2398-37-0,COC1C=CC=C(Br)C=1
1100-88-5,C(C1C=CC=CC=1)P(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1
61826-76-4,N#CC(O)C1=CC(=CC=C1)OC1C=CC=CC=1
13014-18-1,ClC1=CC(Cl)=C(C=C1)C(Cl)(Cl)Cl
67109-27-7,CC1=NN(C2C=CC=CC=2)C(=O)C1N=NC1C=C(Cl)C(=CC=1O)S(N)(=O)=O
118-88-7,CC1=CC=C(N)C=C1S(O)(=O)=O
32764-98-0,CC=CCCC1CCCC(=O)O1
124-30-1,CCCCCCCCCCCCCCCCCCN
106-65-0,COC(=O)CCC(=O)OC
941-98-0,CC(=O)C1=CC=CC2=CC=CC=C21
2373-38-8,CC(CC(C)C)OC(=O)CC(C(=O)OC(C)CC(C)C)S(O)(=O)=O
17199-29-0,OC(=O)C(O)C1C=CC=CC=1
1703-58-8,OC(=O)CC(C(CC(O)=O)C(O)=O)C(O)=O
