Molecule name,RowID,Original_SMILES,Error
Molecule_3534,3534,CC[Pb](CC)(CC)CC, Organometallics
Molecule_3572,3572,N#C[Hg]C#N, Organometallics
Molecule_3905,3905,CC(=O)O[Sn](CCCC)(CCCC)CCCC, Organometallics
Molecule_3906,3906,CCCC[Sn](Cl)(CCCC)CCCC, Organometallics
Molecule_3924,3924,Cl[Sn](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1, Organometallics
Molecule_340,340,[K+].N#C[Au-]C#N, Organometallics
Molecule_1914,1914,[Na+].[Na+].CC1N=NC2O[Cr-2]34(OC5C(=CC(=CC=5[N+]([O-])=O)S(=O)(=O)O3)N=NC3=C(O4)N(N=C3C)C3C=CC(C)=CC=3)OC3=CC(=CC=C3N=NC=21)[N+]([O-])=O, Organometallics
Molecule_1942,1942,[K+].[K+].O=C1O[Sb-]23OC(=O)C(O2)C2O[Sb-]4(OC(=O)C(O4)C1O3)OC2=O, Organometallics
Molecule_3340,3340,CCCC[Sn+2]CCCC.[O-]B([O-])O, Organometallics
Molecule_3757,3757,[K+].N#C[Cu-]C#N, Organometallics
Molecule_3888,3888,[Na+].CC[Hg]SC1C=CC=CC=1C([O-])=O, Organometallics
Molecule_94,94,C%91.[*]%91.C1C=CC=C2NN=NC2=1, Mixture
Molecule_96,96,C%91.C%92.OC1C=CC=CC=1.[*]%91.[*]%92, Mixture
Molecule_335,335,[Mg+2].[O-]C(=O)C1=CC=CC=C1C(=O)O[O-].OC(=O)C1=CC=CC=C1C(=O)OO, Mixture
Molecule_336,336,CCCC[P+](CCCC)(CCCC)CC.CCOP([O-])(=O)OCC, Mixture
Molecule_365,365,CN(C)C.CC(C)COP(S)(=S)OCC(C)C, Mixture
Molecule_453,453,[Na+].CCCCCCCCCCCCOC(=O)C(CC(=O)OCCCCCCCCCCCC)S([O-])(=O)=O.C%91.C%92.[*]%91.[*]%92, Mixture
Molecule_512,512,C=C%91.ClCC1C=CC=CC=1.[*]%91, Mixture
Molecule_566,566,COC1C=C(O)C(=CC=1S([O-])(=O)=O)C(=O)C1C=CC=CC=1.ClC1C=CC(=CC=1)[S+](C1C=CC(Cl)=CC=1)C1C=CC(Cl)=CC=1, Mixture
Molecule_571,571,CC(=O)NC(CCC(O)=O)C(O)=O.CC(C)CC(N)C1=CC=CC=C1N1CCCCC1, Mixture
