Molecule name,Salt_Solvent_ID
Molecule_402,70
Molecule_403,0
Molecule_404,70
Molecule_405,0
Molecule_406,0
Molecule_407,0
Molecule_408,0
Molecule_409,0
Molecule_410,0
Molecule_411,0
Molecule_413,0
Molecule_414,0
Molecule_415,0
Molecule_416,0
Molecule_417,0
Molecule_418,0
Molecule_419,0
Molecule_420,170
Molecule_421,0
Molecule_422,0
Molecule_423,60
Molecule_424,0
Molecule_425,110
Molecule_426,0
Molecule_427,0
Molecule_428,50
Molecule_429,110
Molecule_430,0
Molecule_431,939
Molecule_432,110
Molecule_433,0
Molecule_434,0
Molecule_435,0
Molecule_436,0
Molecule_437,0
Molecule_438,0
Molecule_439,0
Molecule_440,0
Molecule_441,0
Molecule_442,0
Molecule_443,0
Molecule_444,0
Molecule_445,110
Molecule_446,0
Molecule_447,200
Molecule_448,0
Molecule_449,0
Molecule_450,0
Molecule_451,180
Molecule_452,0
Molecule_454,0
Molecule_456,0
Molecule_457,0
Molecule_458,0
Molecule_459,0
Molecule_460,0
Molecule_462,0
Molecule_463,0
Molecule_464,0
Molecule_465,0
Molecule_466,0
Molecule_467,400
Molecule_468,0
Molecule_469,0
Molecule_471,0
Molecule_472,170
Molecule_473,0
Molecule_474,0
Molecule_475,0
Molecule_476,0
Molecule_477,0
Molecule_478,0
Molecule_479,0
Molecule_480,0
Molecule_481,0
Molecule_482,0
Molecule_483,2042
Molecule_484,110
Molecule_485,0
Molecule_486,0
Molecule_487,0
Molecule_488,0
Molecule_489,350
Molecule_490,0
Molecule_491,110
Molecule_492,0
Molecule_493,0
Molecule_494,0
Molecule_495,0
Molecule_496,170
Molecule_497,0
Molecule_498,0
Molecule_500,2242
Molecule_501,1770
Molecule_502,300
Molecule_503,0
Molecule_504,2242
Molecule_505,0
Molecule_506,2101
Molecule_508,2042
Molecule_509,0
Molecule_510,0
Molecule_511,0
Molecule_513,0
Molecule_514,0
Molecule_516,0
Molecule_517,0
Molecule_518,110
Molecule_519,0
Molecule_520,0
Molecule_521,0
Molecule_522,0
Molecule_523,0
Molecule_524,0
Molecule_525,270
Molecule_526,0
Molecule_527,0
Molecule_529,0
Molecule_530,0
Molecule_531,0
Molecule_532,0
Molecule_533,110
Molecule_534,0
Molecule_535,170
Molecule_536,0
Molecule_537,0
Molecule_538,0
Molecule_539,0
Molecule_540,0
Molecule_541,0
Molecule_542,470
Molecule_543,0
Molecule_544,1768
Molecule_545,120
Molecule_546,0
Molecule_547,0
Molecule_548,0
Molecule_549,0
Molecule_550,110
Molecule_551,0
Molecule_552,170
Molecule_554,0
Molecule_555,70
Molecule_557,0
Molecule_558,0
Molecule_559,0
Molecule_560,120
Molecule_562,110
Molecule_563,0
Molecule_564,0
Molecule_565,0
Molecule_567,0
Molecule_570,280
Molecule_572,0
Molecule_573,0
Molecule_574,0
Molecule_575,0
Molecule_576,0
Molecule_577,170
Molecule_578,0
Molecule_579,0
Molecule_580,0
Molecule_581,0
Molecule_582,0
Molecule_583,0
Molecule_584,0
Molecule_585,995
Molecule_587,110
Molecule_588,0
Molecule_589,0
Molecule_590,0
Molecule_591,0
Molecule_592,0
Molecule_593,110
Molecule_594,110
Molecule_595,0
Molecule_596,550
Molecule_597,0
Molecule_598,350
Molecule_599,0
Molecule_600,0
Molecule_601,0
Molecule_602,0
Molecule_603,0
Molecule_604,110
Molecule_605,530
Molecule_606,0
Molecule_607,0
Molecule_608,0
Molecule_609,0
Molecule_610,5166
Molecule_611,110
Molecule_612,0
Molecule_614,0
Molecule_615,0
Molecule_616,3533
Molecule_617,1982
Molecule_618,130
Molecule_620,0
Molecule_621,0
Molecule_622,0
Molecule_623,1768
Molecule_625,0
Molecule_626,580
Molecule_627,200
Molecule_628,0
Molecule_629,190
Molecule_630,0
Molecule_631,3118
Molecule_632,0
Molecule_633,0
Molecule_635,0
Molecule_636,0
Molecule_637,110
Molecule_638,300
Molecule_639,0
Molecule_640,0
Molecule_641,0
Molecule_642,0
Molecule_643,0
Molecule_644,0
Molecule_645,110
Molecule_646,0
Molecule_647,200
Molecule_649,0
Molecule_651,425
Molecule_652,0
Molecule_653,170
Molecule_655,0
Molecule_656,0
Molecule_657,0
Molecule_658,0
Molecule_659,170
Molecule_660,0
Molecule_662,0
Molecule_663,0
Molecule_664,60
Molecule_665,0
Molecule_666,0
Molecule_667,0
Molecule_668,0
Molecule_669,0
Molecule_670,0
Molecule_671,0
Molecule_672,2042
Molecule_673,170
Molecule_674,0
Molecule_675,170
Molecule_676,0
Molecule_677,0
Molecule_678,190
Molecule_679,0
Molecule_680,0
Molecule_681,0
Molecule_682,0
Molecule_683,0
Molecule_686,170
Molecule_687,110
Molecule_688,0
Molecule_689,0
Molecule_690,0
Molecule_691,0
Molecule_692,500
Molecule_693,70
Molecule_694,0
Molecule_695,0
Molecule_696,0
Molecule_697,0
Molecule_698,0
Molecule_699,0
Molecule_700,0
Molecule_701,0
Molecule_702,260
Molecule_703,220
Molecule_704,0
Molecule_705,0
Molecule_706,0
Molecule_707,0
Molecule_708,0
Molecule_709,0
Molecule_710,0
Molecule_711,0
Molecule_713,3118
Molecule_714,0
Molecule_715,0
Molecule_716,110
Molecule_717,2032
Molecule_718,220
Molecule_719,0
Molecule_720,110
Molecule_721,0
Molecule_722,0
Molecule_723,350
Molecule_724,0
Molecule_725,110
Molecule_726,0
Molecule_727,0
Molecule_728,0
Molecule_729,0
Molecule_730,0
Molecule_731,0
Molecule_732,0
Molecule_733,190
Molecule_734,170
Molecule_735,245
Molecule_736,0
Molecule_737,0
Molecule_738,0
Molecule_739,0
Molecule_741,0
Molecule_742,0
Molecule_743,0
Molecule_744,0
Molecule_745,0
Molecule_746,0
Molecule_747,0
Molecule_748,170
Molecule_749,110
Molecule_750,0
Molecule_751,0
Molecule_753,0
Molecule_755,0
Molecule_756,0
Molecule_758,0
Molecule_759,0
Molecule_760,0
Molecule_763,0
Molecule_764,0
Molecule_765,0
Molecule_766,80
Molecule_767,0
Molecule_768,0
Molecule_769,170
Molecule_770,0
Molecule_771,0
Molecule_772,0
Molecule_774,110
Molecule_775,0
Molecule_776,90
Molecule_777,0
Molecule_778,110
Molecule_779,0
Molecule_780,0
Molecule_781,0
Molecule_782,30
Molecule_784,0
Molecule_785,0
Molecule_786,0
Molecule_787,0
Molecule_788,0
Molecule_789,0
Molecule_790,0
Molecule_791,0
Molecule_792,0
Molecule_793,0
Molecule_794,0
Molecule_795,0
Molecule_796,0
Molecule_797,0
Molecule_798,0
Molecule_799,1768
Molecule_800,190
Molecule_801,0
Molecule_802,0
Molecule_803,0
Molecule_804,170
Molecule_805,0
Molecule_806,946
Molecule_807,0
Molecule_808,0
Molecule_809,0
Molecule_810,0
Molecule_811,0
Molecule_812,0
Molecule_813,0
Molecule_814,0
Molecule_815,0
Molecule_816,170
Molecule_817,0
Molecule_818,0
